case_name,case_file,baseMVA,nb,nl,ng_total,ng_active,n_load_buses,n_ref_buses,n_pv_buses,n_pq_buses,total_pd_mw,total_qd_mvar,sum_pmax_mw,n_branch_with_limits,n_branch_out_of_service
pglib_opf_case10000_goc,test_cases/pglib_opf_case10000_goc.mat,100.0,10000,13193,2089,2016,3984,1,1294,8705,73675.166,17836.098,184430.77000000002,13193,0
pglib_opf_case118_ieee,test_cases/pglib_opf_case118_ieee.mat,100.0,118,186,54,54,99,1,53,64,4242.0,1438.0,6515.0,186,0
pglib_opf_case1354_pegase,test_cases/pglib_opf_case1354_pegase.mat,100.0,1354,1991,260,260,673,1,259,1094,73059.67,13401.44,128738.6,1991,0
pglib_opf_case13659_pegase,test_cases/pglib_opf_case13659_pegase.mat,100.0,13659,20467,4092,4092,5544,1,4091,9567,381431.85000000003,98523.40000000001,981300.0,20467,0
pglib_opf_case14_ieee,test_cases/pglib_opf_case14_ieee.mat,100.0,14,20,5,5,11,1,4,9,259.0,73.5,399.0,20,0
pglib_opf_case2000_goc,test_cases/pglib_opf_case2000_goc.mat,100.0,2000,3639,384,238,1010,1,177,1822,32972.9120006,8961.255528791,44578.846999999994,3639,6
pglib_opf_case200_activ,test_cases/pglib_opf_case200_activ.mat,100.0,200,245,49,38,108,1,48,151,1475.69,420.55,2997.49,245,0
pglib_opf_case30000_goc,test_cases/pglib_opf_case30000_goc.mat,100.0,30000,35393,3526,3526,10648,1,2277,27722,117739.663,30768.792,213105.493,35393,0
pglib_opf_case300_ieee,test_cases/pglib_opf_case300_ieee.mat,100.0,300,411,69,69,201,1,68,231,23525.85,7787.97,36077.0,411,0
pglib_opf_case3022_goc,test_cases/pglib_opf_case3022_goc.mat,100.0,3022,4135,637,327,1574,1,318,2703,57997.486000000004,3503.426,228574.12099999998,4135,0
pglib_opf_case39_epri,test_cases/pglib_opf_case39_epri.mat,100.0,39,46,10,10,21,1,9,29,6254.23,1387.1,7367.0,46,0
pglib_opf_case4020_goc,test_cases/pglib_opf_case4020_goc.mat,100.0,4020,6988,352,352,2606,1,88,3931,41730.083,15203.380000000001,44387.295000000006,6988,0
pglib_opf_case500_ieee,test_cases/pglib_opf_case500_ieee.mat,100.0,500,733,224,171,281,1,113,386,17772.920733832,4588.223415012,23303.998,733,5
pglib_opf_case5658_epigrids,test_cases/pglib_opf_case5658_epigrids.mat,100.0,5658,9078,474,474,4166,1,104,5553,42383.100000000006,18131.88,66718.76,9078,6
pglib_opf_case57_ieee,test_cases/pglib_opf_case57_ieee.mat,100.0,57,80,7,7,42,1,6,50,1250.8,336.4,1983.0,80,0
pglib_opf_case5_pjm,test_cases/pglib_opf_case5_pjm.mat,100.0,5,6,5,5,3,1,3,1,1000.0,328.69,1530.0,6,0
pglib_opf_case6468_rte,test_cases/pglib_opf_case6468_rte.mat,100.0,6468,9000,1295,399,3661,1,641,5826,85296.9,5691.1,105071.59,9000,0
pglib_opf_case7336_epigrids,test_cases/pglib_opf_case7336_epigrids.mat,100.0,7336,11521,686,684,5252,1,239,7096,66286.4,24243.41,110222.3,11521,2
pglib_opf_case8387_pegase,test_cases/pglib_opf_case8387_pegase.mat,100.0,8387,14561,1865,1865,4669,1,1864,6522,357940.178272,102125.18,6640322.097878,14561,0
