Method,Cases,Converged,Median solve [s],Median total [s],Median E2E [s],Median iter,Median speedup [%],group
Baseline case-data start,19,18,3.8258038759231567,4.0050013065338135,4.0050013065338135,39.0,0.0,base
Best static Oracle AC primal-only ($V_m{+}Q_g$),19,16,1.8372430801391602,1.9745681285858154,1.9745681285858154,37.0,2.946945914377723,static
Best static Oracle AC primal+dual ($V_m$),19,10,0.2701455354690552,0.37975013256073,0.37975013256073,54.0,-93.92498961431188,static
Best static Oracle AC constraint-dual-only ($V_a{+}V_m{+}Q_g$),19,12,0.49462687969207764,0.5194334983825684,0.5194334983825684,73.0,-51.586946066872734,static
Best static Oracle AC bounds-dual-only ($V_m$),19,11,0.3005869388580322,0.3317670822143554,0.3317670822143554,99.0,-79.27971352464215,static
Best static Oracle AC primal+dual (all bounds) ($V_m{+}P_g{+}Q_g$),19,14,0.7654678821563721,0.8116223812103271,0.8116223812103271,27.0,-19.750791989298673,static
Best static DC-seeded ($V_a$),19,17,2.629779815673828,3.0501158237457275,3.2389678955078125,38.0,3.289606528903048,static
Case-wise best oracle AC primal-only,19,18,3.2584590911865234,,,29.5,21.63827829908802,casewise
Case-wise best oracle AC primal+dual,19,18,1.803743839263916,,,4.0,47.578927078331944,casewise
Case-wise best constraint-dual,19,18,1.9438090324401855,,,5.5,44.333413570280925,casewise
Case-wise best bounds-dual,19,17,3.103933095932007,,,17.0,19.547986289631748,casewise
Case-wise best primal+dual all-bounds,19,18,1.7838025093078613,,,4.0,50.25957547574416,casewise
Case-wise best DC-seeded AC solve,19,18,3.8398208618164062,,,32.5,12.505459601893707,casewise
Case-wise best DC end-to-end,19,18,4.628035068511963,,,32.5,-5.103370369433594,casewise
