family,blocks,Converged,Median solve [s],Mean solve [s],Median iter,Mean iter,Case wins
Oracle AC primal-only,Qg+Vm,16,1.8372430801391602,14.852939307689667,37.0,47.6875,0
Oracle AC primal-only,Vm,17,2.81997013092041,25.840362422606525,40.0,61.35294117647059,0
Oracle AC primal-only,Pg+Qg,17,2.948427200317383,20.48947590940139,36.0,47.529411764705884,1
Oracle AC primal-only,Pg+Vm+Va,18,3.57151460647583,13.749779714478386,30.0,33.22222222222222,3
Oracle AC primal-only,Pg+Qg+Vm,18,3.734901547431946,18.546634475390118,33.5,52.611111111111114,0
Oracle AC primal-only,Qg+Vm+Va,18,3.8061126470565796,14.043651541074118,36.5,39.111111111111114,1
Oracle AC primal-only,Pg+Qg+Vm+Va,18,3.871829628944397,13.5236304336124,29.5,31.833333333333332,6
Oracle AC primal-only,Pg+Qg+Va,18,4.151387095451355,18.448082579506767,32.0,53.94444444444444,2
Oracle AC primal-only,Pg+Va,18,4.28176212310791,16.598300337791443,32.5,46.5,2
Oracle AC primal-only,Qg,18,4.3064044713974,57.39096878634559,39.5,69.44444444444444,0
Oracle AC primal-only,Pg,18,4.369385004043579,19.71318847603268,37.0,53.611111111111114,1
Oracle AC primal-only,Pg+Vm,18,4.441399335861206,22.86827372180091,33.5,60.388888888888886,1
Oracle AC primal-only,Va,18,4.544908761978149,22.28030566374461,38.5,59.27777777777778,0
Oracle AC primal-only,Qg+Va,18,4.560819506645203,22.697097248501247,38.5,62.333333333333336,1
Oracle AC primal-only,Vm+Va,18,4.637997031211853,13.819249603483414,36.5,39.44444444444444,0
Oracle AC primal+dual,Vm,10,0.2701455354690552,8.089537930488586,54.0,109.7,0
Oracle AC primal+dual,Qg+Vm,10,0.271436333656311,7.465928745269776,66.5,100.3,0
Oracle AC primal+dual,Qg+Vm+Va,10,0.28058159351348877,8.319382429122925,57.5,102.2,0
Oracle AC primal+dual,Qg+Va,11,0.291996955871582,9.036691622300582,87.0,130.8181818181818,0
Oracle AC primal+dual,Qg,10,0.3008514642715454,9.677968907356263,60.5,114.8,0
Oracle AC primal+dual,Vm+Va,11,0.5672440528869629,8.696651415391402,108.0,121.0909090909091,0
Oracle AC primal+dual,Pg+Qg,13,0.6138231754302979,15.527284438793476,58.0,99.15384615384616,0
Oracle AC primal+dual,Pg+Qg+Vm,14,0.753371000289917,18.39635224001748,27.0,79.78571428571429,1
Oracle AC primal+dual,Pg+Vm,14,0.8220694065093994,11.835386667932783,45.5,89.35714285714286,0
Oracle AC primal+dual,Pg,13,1.2595062255859375,19.946065755990837,58.0,108.23076923076923,0
Oracle AC primal+dual,Pg+Vm+Va,15,1.2726759910583496,6.98636155128479,31.0,42.86666666666667,0
Oracle AC primal+dual,Va,12,1.29820716381073,12.98426220814387,116.0,130.16666666666666,0
Oracle AC primal+dual,Pg+Va,15,1.368736982345581,11.099530760447184,57.0,66.4,0
Oracle AC primal+dual,Pg+Qg+Vm+Va,18,1.803743839263916,5.868293378088209,3.5,4.111111111111111,16
Oracle AC primal+dual,Pg+Qg+Va,14,1.9833365678787231,6.658191408429827,49.5,56.857142857142854,1
Oracle AC constraint-dual-only,Qg+Vm+Va,12,0.49462687969207764,15.128352602322897,73.0,90.41666666666667,0
Oracle AC constraint-dual-only,Qg,13,0.6117360591888428,12.24604764351478,63.0,86.3076923076923,0
Oracle AC constraint-dual-only,Qg+Va,12,0.9086085557937621,7.864513178666432,72.5,77.25,0
Oracle AC constraint-dual-only,Vm+Va,13,0.9249539375305176,14.998788393460787,90.0,99.92307692307692,0
Oracle AC constraint-dual-only,Pg+Vm,14,0.9894070625305176,6.322765520640782,23.5,55.857142857142854,0
Oracle AC constraint-dual-only,Pg+Qg+Va,15,1.2357661724090576,6.793172931671142,33.0,45.53333333333333,0
Oracle AC constraint-dual-only,Pg+Qg,14,1.2647290229797363,8.128466401781354,50.0,79.57142857142857,0
Oracle AC constraint-dual-only,Va,14,1.3390800952911377,15.427606344223022,89.0,91.5,0
Oracle AC constraint-dual-only,Vm,14,1.4413299560546875,16.80769077369145,81.0,103.5,0
Oracle AC constraint-dual-only,Qg+Vm,14,1.542590618133545,17.678975173405238,85.0,113.85714285714286,0
Oracle AC constraint-dual-only,Pg,15,1.6346619129180908,11.75293526649475,42.0,78.2,0
Oracle AC constraint-dual-only,Pg+Vm+Va,16,1.7559329271316528,9.77460989356041,20.0,39.0625,0
Oracle AC constraint-dual-only,Pg+Qg+Vm+Va,18,1.9438090324401855,6.164269937409295,5.5,6.5,18
Oracle AC constraint-dual-only,Pg+Va,17,3.013284921646118,18.769194266375372,33.0,72.3529411764706,0
Oracle AC constraint-dual-only,Pg+Qg+Vm,16,3.724198818206787,13.761808067560196,42.5,86.5625,0
Oracle AC bounds-dual-only,Vm,11,0.3005869388580322,10.458318948745728,99.0,108.54545454545455,0
Oracle AC bounds-dual-only,Qg,10,0.32255768775939936,6.272956442832947,83.0,100.1,0
Oracle AC bounds-dual-only,Va,11,0.3733179569244385,7.087924523787065,104.0,135.0909090909091,0
Oracle AC bounds-dual-only,Qg+Va,11,0.5166940689086914,7.727429324930364,72.0,129.0,0
Oracle AC bounds-dual-only,Qg+Vm+Va,11,0.6184618473052979,12.280684731223367,93.0,114.81818181818181,0
Oracle AC bounds-dual-only,Pg+Qg+Vm,12,0.6453025341033936,8.08486670255661,62.0,66.25,0
