family,FamilyShort,Combination,blocks,blocks_display,Cases,OK,MedSolve,MedIter,MedE2E,MedSpd,"10,000",118,14,14K,1K,200,2K,"3,022","30,000",300,39,4K,5,"5,658",500,57,6K,"7,336","8,387",family_order,combo_order
baseline,Baseline,---,,,19,18,3.8258038759231567,39.0,4.0050013065338135,0.0,30.326/0,0.174/0,0.036/0,45.014/0,2.719/0,0.237/0,4.932/0,8.975/0,165.383/0,0.489/0,0.061/0,15.534/0,0.023/0,14.982/0,0.852/0,0.095/0,45.822/0,16.312/0,\textbf{F},0,"(0, (), '')"
oracle_ac_primal_only,O-PO,$V_a$,Va,Va,18,18,4.544908761978149,38.5,5.124436736106873,7.098609937575593,26.693/12,0.336/-93,0.033/9,161.675/-259,2.485/9,0.234/1,6.605/-34,8.384/7,111.568/33,0.398/19,0.062/-2,15.317/1,0.021/8,13.341/11,1.315/-54,0.073/24,35.976/21,16.530/-1,,1,"(1, (0,), 'Va')"
oracle_ac_primal_only,O-PO,$V_m$,Vm,Vm,18,17,2.81997013092041,40.0,3.7780990600585938,-0.78495152962762,\textbf{F},1.121/-544,0.034/3,126.866/-182,2.820/-4,0.233/2,4.711/4,13.944/-55,204.837/-24,0.558/-14,0.063/-4,15.072/3,0.022/5,14.196/5,0.859/-1,0.070/27,37.294/19,16.586/-2,,1,"(1, (1,), 'Vm')"
oracle_ac_primal_only,O-PO,$P_g$,Pg,Pg,18,18,4.369385004043579,37.0,4.94210410118103,4.893036490803171,29.012/4,0.371/-113,0.031/13,41.202/8,3.139/-15,0.220/7,5.600/-14,8.196/9,175.244/-6,0.460/6,0.055/10,9.810/37,0.022/5,14.491/3,0.827/3,0.068/29,50.481/-10,15.609/4,,1,"(1, (2,), 'Pg')"
oracle_ac_primal_only,O-PO,$Q_g$,Qg,Qg,18,18,4.3064044713974,39.5,5.259640574455261,1.0292378740557393,31.480/-4,0.412/-136,0.030/16,717.549/-1494,3.724/-37,0.236/1,4.889/1,7.219/20,148.672/10,0.425/13,0.062/-2,13.627/12,0.020/14,14.394/4,0.852/0,0.085/11,73.242/-60,16.119/1,,1,"(1, (3,), 'Qg')"
oracle_ac_primal_only,O-PO,$V_a{+}V_m$,Vm+Va,Va+Vm,18,18,4.637997031211853,36.5,5.223460912704468,5.574832140385574,27.230/10,0.186/-7,0.034/5,42.269/6,4.068/-50,0.235/1,5.208/-6,6.764/25,100.819/39,0.405/17,0.063/-4,13.267/15,0.019/16,14.963/0,1.776/-108,0.075/21,15.574/66,15.792/3,,1,"(2, (0, 1), 'Va+Vm')"
oracle_ac_primal_only,O-PO,$V_a{+}P_g$,Pg+Va,Va+Pg,18,18,4.28176212310791,32.5,4.881070137023926,9.742370897526776,56.554/-86,0.194/-12,0.029/19,35.492/21,2.679/1,0.215/9,5.884/-19,8.074/10,118.955/28,0.392/20,0.069/-14,9.274/40,0.021/7,11.639/22,1.003/-18,0.072/24,33.451/27,14.771/9,,1,"(2, (0, 2), 'Va+Pg')"
oracle_ac_primal_only,O-PO,$V_a{+}Q_g$,Qg+Va,Va+Qg,18,18,4.560819506645203,38.5,5.132477164268494,8.137210873642838,27.305/10,0.193/-11,0.028/20,143.383/-219,2.544/6,0.241/-2,6.578/-33,8.093/10,117.216/29,0.407/17,0.059/3,13.956/10,0.017/25,12.623/16,2.129/-150,0.079/17,57.152/-25,16.544/-1,,1,"(2, (0, 3), 'Va+Qg')"
oracle_ac_primal_only,O-PO,$V_m{+}P_g$,Pg+Vm,Vm+Pg,18,18,4.441399335861206,33.5,4.75430428981781,5.746179656373651,61.833/-104,0.200/-15,0.034/4,42.100/6,4.493/-65,0.223/6,4.390/11,11.333/-26,176.229/-7,0.461/6,0.057/6,9.460/39,0.018/22,12.201/19,0.800/6,0.071/26,71.894/-57,15.832/3,,1,"(2, (1, 2), 'Vm+Pg')"
oracle_ac_primal_only,O-PO,$V_m{+}Q_g$,Qg+Vm,Vm+Qg,18,16,1.8372430801391602,37.0,1.9745681285858154,2.946945914377723,\textbf{F},0.190/-9,0.029/17,\textbf{F},2.785/-2,0.237/0,4.521/8,8.495/5,130.996/21,0.544/-11,0.062/-2,15.075/3,0.021/7,12.649/16,0.890/-4,0.070/27,44.475/3,16.609/-2,,1,"(2, (1, 3), 'Vm+Qg')"
