family,FamilyShort,Combination,blocks,blocks_display,Cases,OK,MedSolve,MedIter,MedE2E,MedSpd,"10,000",118,14,14K,1K,200,2K,"3,022","30,000",300,39,4K,5,"5,658",500,57,6K,"7,336","8,387",family_order,combo_order
baseline,Baseline,---,,,19,18,3.8258038759231567,39.0,4.0050013065338135,0.0,30.326/0/79,0.174/0/23,0.036/0/14,45.014/0/66,2.719/0/38,0.237/0/24,4.932/0/43,8.975/0/53,165.383/0/188,0.489/0/31,0.061/0/26,15.534/0/57,0.023/0/20,14.982/0/40,0.852/0/33,0.095/0/14,45.822/0/149,16.312/0/41,\textbf{F},0,"(0, (), '')"
oracle_ac_primal_only,O-PO,$V_a$,Va,Va,18,18,4.544908761978149,38.5,5.124436736106873,7.098609937575593,26.693/12/65,0.336/-93/32,0.033/9/15,161.675/-259/264,2.485/9/33,0.234/1/22,6.605/-34/61,8.384/7/50,111.568/33/111,0.398/19/25,0.062/-2/30,15.317/1/56,0.021/8/15,13.341/11/37,1.315/-54/60,0.073/24/14,35.976/21/137,16.530/-1/40,,1,"(1, (0,), 'Va')"
oracle_ac_primal_only,O-PO,$V_m$,Vm,Vm,18,17,2.81997013092041,40.0,3.7780990600585938,-0.78495152962762,\textbf{F},1.121/-544/23,0.034/3/14,126.866/-182/187,2.820/-4/40,0.233/2/22,4.711/4/40,13.944/-55/112,204.837/-24/212,0.558/-14/51,0.063/-4/27,15.072/3/55,0.022/5/20,14.196/5/36,0.859/-1/33,0.070/27/11,37.294/19/120,16.586/-2/40,,1,"(1, (1,), 'Vm')"
oracle_ac_primal_only,O-PO,$P_g$,Pg,Pg,18,18,4.369385004043579,37.0,4.94210410118103,4.893036490803171,29.012/4/77,0.371/-113/21,0.031/13/14,41.202/8/60,3.139/-15/42,0.220/7/19,5.600/-14/53,8.196/9/54,175.244/-6/190,0.460/6/31,0.055/10/23,9.810/37/36,0.022/5/18,14.491/3/38,0.827/3/31,0.068/29/11,50.481/-10/208,15.609/4/39,,1,"(1, (2,), 'Pg')"
oracle_ac_primal_only,O-PO,$Q_g$,Qg,Qg,18,18,4.3064044713974,39.5,5.259640574455261,1.0292378740557393,31.480/-4/82,0.412/-136/24,0.030/16/14,717.549/-1494/262,3.724/-37/39,0.236/1/23,4.889/1/44,7.219/20/54,148.672/10/166,0.425/13/29,0.062/-2/32,13.627/12/57,0.020/14/20,14.394/4/40,0.852/0/33,0.085/11/14,73.242/-60/276,16.119/1/41,,1,"(1, (3,), 'Qg')"
oracle_ac_primal_only,O-PO,$V_a{+}V_m$,Vm+Va,Va+Vm,18,18,4.637997031211853,36.5,5.223460912704468,5.574832140385574,27.230/10/62,0.186/-7/27,0.034/5/13,42.269/6/61,4.068/-50/36,0.235/1/20,5.208/-6/44,6.764/25/50,100.819/39/104,0.405/17/25,0.063/-4/29,13.267/15/55,0.019/16/14,14.963/0/37,1.776/-108/36,0.075/21/13,15.574/66/47,15.792/3/37,,1,"(2, (0, 1), 'Va+Vm')"
oracle_ac_primal_only,O-PO,$V_a{+}P_g$,Pg+Va,Va+Pg,18,18,4.28176212310791,32.5,4.881070137023926,9.742370897526776,56.554/-86/144,0.194/-12/26,0.029/19/13,35.492/21/48,2.679/1/36,0.215/9/16,5.884/-19/52,8.074/10/43,118.955/28/121,0.392/20/25,0.069/-14/29,9.274/40/31,0.021/7/15,11.639/22/32,1.003/-18/39,0.072/24/14,33.451/27/120,14.771/9/33,,1,"(2, (0, 2), 'Va+Pg')"
oracle_ac_primal_only,O-PO,$V_a{+}Q_g$,Qg+Va,Va+Qg,18,18,4.560819506645203,38.5,5.132477164268494,8.137210873642838,27.305/10/63,0.193/-11/27,0.028/20/14,143.383/-219/239,2.544/6/33,0.241/-2/23,6.578/-33/61,8.093/10/49,117.216/29/119,0.407/17/25,0.059/3/26,13.956/10/55,0.017/25/14,12.623/16/37,2.129/-150/60,0.079/17/13,57.152/-25/224,16.544/-1/40,,1,"(2, (0, 3), 'Va+Qg')"
oracle_ac_primal_only,O-PO,$V_m{+}P_g$,Pg+Vm,Vm+Pg,18,18,4.441399335861206,33.5,4.75430428981781,5.746179656373651,61.833/-104/169,0.200/-15/22,0.034/4/15,42.100/6/60,4.493/-65/41,0.223/6/19,4.390/11/36,11.333/-26/83,176.229/-7/186,0.461/6/28,0.057/6/27,9.460/39/33,0.018/22/18,12.201/19/34,0.800/6/29,0.071/26/11,71.894/-57/239,15.832/3/37,,1,"(2, (1, 2), 'Vm+Pg')"
oracle_ac_primal_only,O-PO,$V_m{+}Q_g$,Qg+Vm,Vm+Qg,18,16,1.8372430801391602,37.0,1.9745681285858154,2.946945914377723,\textbf{F},0.190/-9/23,0.029/17/15,\textbf{F},2.785/-2/40,0.237/0/23,4.521/8/38,8.495/5/73,130.996/21/137,0.544/-11/46,0.062/-2/27,15.075/3/55,0.021/7/19,12.649/16/36,0.890/-4/35,0.070/27/12,44.475/3/144,16.609/-2/40,,1,"(2, (1, 3), 'Vm+Qg')"
oracle_ac_primal_only,O-PO,$P_g{+}Q_g$,Pg+Qg,Pg+Qg,18,17,2.948427200317383,36.0,3.3336362838745117,6.612905197483562,29.719/2/78,0.280/-61/22,0.028/21/15,42.037/7/61,2.948/-8/42,0.233/2/19,5.110/-4/46,6.690/25/54,220.825/-34/246,0.443/9/30,0.056/7/23,11.518/26/36,0.023/-1/18,12.408/17/37,0.825/3/31,0.081/15/13,\textbf{F},15.096/7/37,,1,"(2, (2, 3), 'Pg+Qg')"
oracle_ac_primal_only,O-PO,$V_a{+}V_m{+}P_g$,Pg+Vm+Va,Va+Vm+Pg,18,18,3.57151460647583,30.0,4.165328025817871,13.99962684111561,23.929/21/50,0.172/1/22,0.030/15/13,36.539/19/49,2.439/10/31,0.205/13/16,4.704/5/37,5.839/35/43,119.943/27/122,0.386/21/22,0.049/19/18,10.705/31/30,0.022/5/13,13.742/8/32,0.815/4/28,0.316/-232/10,13.525/70/32,14.135/13/30,,1,"(3, (0, 1, 2), 'Va+Vm+Pg')"
